CILUBA,French,English,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Afrikaans_Translation
Tshishipelu,Boucherie,butcher's shop,Slaghuis,Isitolo se-Butcher's,-8.0,Negatif,Mot,Butcher&#39;s shop,Slagter se winkel
Tshisombedi,Siège,seat,Beleër,Isihlalo,3.0,Neutre,Mot,Seat,Sitplek
Tshisonga,Chardon,thistle,Distel,Thi Tistle,-5.0,Negatif,Mot,Thistle,Distel
"Tshisuikidi, nkanu",Lien,link,Skakel,Ulungu lokuthile,4.0,Positif,Mot,Link,Skakel
Tshisumbu,Compagnie,company,Geselskap,Iviyo,0.0,Neutre,Mot,Company,Maatskappy
Tshisumbu (tshia banayi),Bande ,band,Orkes,Isibopho,0.0,Neutre,Mot,Band ,Band 
"Tshisumbu tshia
bantu",Attroupement,crowd,Vergadering,Idili,-4.0,Negatif,Mot,Crowd,Menigte
Tshisumbu tshia bena nvita,Armée,army,Leër,Impi,6.0,Positif,Mot,Army,Leër
Tshisumbu tshia masalayi,Cohorte,cohort,Kohort,Cohort,5.0,Positif,Mot,Cohort,Kohort
"Tshisumbu tshia
nyama",Troupeau,herd,Kudde,Idanzi,0.0,Neutre,Mot,Herd,Kudde
Tshisumbu tshienene tshia bantu,Populace,populace,Bevolking,Ukuphindisa,-5.0,Negatif,Mot,Populace,Bevolking
Tshitadi (kulambula),Tribut,tribute,Huldeblyk,Okuhlonipha,4.0,Positif,Mot,Tribute,Huldeblyk
Tshitaku tshia buatu,Poupe,stern,Streng,-Zithiba,0.0,Neutre,Mot,Stern,Stern
Tshitalale,Doux,soft,Soet,-Potozelayo,8.0,Positif,Mot,Soft,Sag
Tshitambala,Suaire,shroud,Lykkleed,Shwimvu,-6.0,Negatif,Mot,Shroud,Lykkleed
Tshitambe buimpe,Meilleur,best,Beste,-Hle kakhulu,9.0,Positif,Mot,Best,Beste
Tshitangidilu,Théâtre,theater,Teater,Ithiyeta,5.0,Positif,Mot,Theater,Teater
Tshitapitapi,Onguent,ointment,Salf,Okokugcobisa umzimba,7.0,Positif,Mot,Ointment,Salf
Tshitekelu tshia makasa,Marchepied,step,Trappies,Ibhodi,4.0,Positif,Mot,Step stool,Trapstoeltjie
"Tshitekelu tshia
minda",Chandelier,candlestick,Kandelaar,Ikhandlela,6.0,Positif,Mot,Candlestick,Kandelaar
Tshitema,Brillant,bright,Helder,-Gqamile,8.0,Positif,Mot,Bright,Helder
Tshitendelelu,Sanctuaire,sanctuary,Heiland,Isiphephelo,9.0,Positif,Mot,Sanctuary,Heiligdom
Tshitoke,Blanc,white,Wit,Okumhlophe,7.0,Positif,Mot,White,Wit
Tshitoketoke,Livide,livid,Lewendige,-Bubhegqayela,-6.0,Negatif,Mot,Livid,Woedend
Tshitotshi,Boue,mud,Modder,Ibishi,-7.0,Negatif,Mot,Mud,Modder
Tshitshiu,Dureté,hardness,Hardheid,Ubunzima,-5.0,Negatif,Mot,Hardness,Hardheid
Tshitua (muele anyi kele),Tranchant,sharp,Skerp,-Bukhali,-4.0,Negatif,Mot,Sharp,Skerp
Tshituadilu tshia tshitalu,Bière,beer,Bier,Ubhiya,0.0,Neutre,Mot,Beer,Bier
Tshitudilu,Camp,camp,Kamp,Khempa,0.0,Neutre,Mot,Camp,Kamp
Tshitue (tshiamua),Aigu,acute,Skerp,-Hlabayo,5.0,Positif,Mot,Acute,Akute
Tshitue luepu,Salé,dirty,Sout,-Ngcolile,0.0,Neutre,Mot,Dirty,Vuil
Tshituilu,Aire,area,Gebied,Indawo,0.0,Neutre,Mot,Area,Gebied
Tshitupa tshipi,Bientôt,Soon,Binnekort,Ngokushesha,4.0,Positif,Mot,Soon,Binnekort
Tshiula,Grenouille,frog,Padda,Iselesele,0.0,Neutre,Mot,Frog,Padda
Tshiûle,Plein,full,Vol,-Gcwele,6.0,Positif,Mot,Full,Vol
Tshiunvuika,Intelligible,intelligible,Verstaanbaar,-Sobala,7.0,Positif,Mot,Intelligible,Verstaanbaar
Tshiuyuya,Tiède,lukewarm,Warm,Lukewarm,-3.0,Negatif,Mot,Lukewarm,louwarm
Tshivulangane,Varié,varied,Gevarieerd,-Nhlobonhlobo,5.0,Positif,Mot,Varied,Gevarieerd
Tshivulukidi,Mémoire,memory,Herinnering,Ukukhumbula,6.0,Positif,Mot,Memory,Geheue
Tshiyole,Famine,famine,Hongersnood,Indlala,-8.0,Negatif,Mot,Famine,Hongersnood
Tshume,Sec,dry,Droog,-Omile,-4.0,Negatif,Mot,Dry,Droog
Tshuwidi,Plénitude,fullness,Volheid,Ukugcwele,8.0,Positif,Mot,Fullness,Volheid
Tsilulu tshipuekele,Costume décent,,Kostuum ordentlik,I-HORTENT Suit,7.0,Positif,Mot,Decent suit,Ordentlike pak
Tsjiji,Rage,rage,Woede,Intukuthelo esabisayo,-7.0,Negatif,Mot,Rage,Woede
Tujila,Ruelle,alley,Stegie,Umhubhe,0.0,Neutre,Mot,Alley,Stegie
Tshidime,Cultivateur,farmer,Boer,Umninipulazi,5.0,Positif,Mot,Farmer,Boer
Tshidimu,Année,year,Jaar,Unyaka,0.0,Neutre,Mot,Year,Jaar
"Tshidimu tshia
mashika",Hiver,winter,Winter,Ubusika,0.0,Neutre,Mot,Winter,Winter
Tshidimu tshia mayowa,Été,summer,Somer,Ihlobo,5.0,Positif,Mot,Summer,Somer
Tshiena bualu,Sujet,subject,Onderwerp,Beka,0.0,Neutre,Mot,Subject,Onderwerp
Tshiena lomo,Latin,Latin,Latyn,IsiLatini,0.0,Neutre,Mot,Latin,Latyn
Tshiendelele,A Jamais,,Vir Altyd,Naphakade,9.0,Positif,Mot,Forever,Vir altyd
Tshiendelu,Parvis,forecourt,Parvis,Igceke,4.0,Positif,Mot,Forecourt,Voorhof
Tshienzedi,Action,action,Aksie,Ukwenza,6.0,Positif,Mot,Action,Aksie
"Tshienzedi, malu",Œuvre,artwork,Werk,Ubuciko,7.0,Positif,Mot,Artwork,Kunswerk
Tshieya,Garant,guarantor,Borg,Umphathi,5.0,Positif,Mot,Guarantor,Borg
Tshifuafua,Mortel,mortal,Sterflik,-Phethe,-6.0,Negatif,Mot,Mortal,Sterflik
Tshifufu,Complot,conspiracy,Plot,Umbimbi,-7.0,Negatif,Mot,Conspiracy,Sameswering
Tshifukibua,Créature,creature,Skepsel,Isilwane,6.0,Positif,Mot,Creature,Skepsel
"Tshifukibua tshipia
tshipia",Nouvelle création,,Nuwe Skepping,Indalo entsha,8.0,Positif,Mot,New creation,Nuwe skepping
Tshifulu,Casque,helmet,Helm,Umgqomo,4.0,Positif,Mot,Helmet,Helm
Tshifulu tshia butumbi,Diadème,tiara,Diara,Tisana,7.0,Positif,Mot,Tiara,Tiara
Tshiji,Colère,anger,Woede,Intukuthelo,-7.0,Negatif,Mot,Anger,Woede
Tshiji,Colère ,anger,Toorn,Intukuthelo,-6.0,Negatif,Mot,Anger ,Woede 
Tshiji (tshikole),Fureur,fury,Fuurheid,Isibhengubhengu,-8.0,Negatif,Mot,Fury,Woede
Tshijidila,Sacré,sacred,Heilig,-Ngcwele,9.0,Positif,Mot,Sacred,Heilig
Tshijila,Sainteté,holiness,Heilig,Ubungcwele,9.0,Positif,Mot,Holiness,Heiligheid
Tshijila (mu),Saintement,holyly,Heilig,'-Ngcwele,8.0,Positif,Mot,Holyly,Heilig
Tshijila (wa),Saint,saint,Heilig,Usanti,9.0,Positif,Mot,Saint,Heilige
Tshikaminu,Pressoir,press,Wynpers,Gcinezela,0.0,Neutre,Mot,Press,Pers
Tshikanga,Cuit,cooked,Gekook,Iphekwe,0.0,Neutre,Mot,Cooked,Gekook
Tshikankanyi,Talon,heel,Hakskeen,Isithende,0.0,Neutre,Mot,Heel,Hak
Tshikena kumona,Vision,vision,Visie,Umbono,8.0,Positif,Mot,Vision,Visie
"Tshikole adi, tshidi",Grave,severe,Graf,-Khulu,-4.0,Negatif,Mot,Severe,Ernstig
Tshikololo,Corbeau,crow,Raaf,Igwababa,0.0,Neutre,Mot,Crow,Kraai
Tshikololo; Mukanku,Aigle,eagle,Arend,Ukhozi,5.0,Positif,Mot,Eagle,Arend
Tshikondo,Antérieurement,previously,Vorige,Ngaphambilini,3.0,Neutre,Mot,Previously,Voorheen
Tshikondo,Moment,moment,Oomblik,Isikhashana,5.0,Positif,Mot,Moment,Oomblik
Tshikondo etshi,Actuel,current,Huidig,-Dlulayo,6.0,Positif,Mot,Current,Huidige
Tshikondo tshimpe,Opportun,opportun,Geleë,Ngesikhathi,7.0,Positif,Mot,Opportun,Geleentheid
Tshikote,Cumin,cumin,Komyn,Uhlobo lwensanzaka,0.0,Neutre,Mot,Cumin,Komyn
Tshikowelu,Vêtement,garment,Klere,Isigqoko,4.0,Positif,Mot,Garment,Kledingstuk
Tshikoyeke,Immonde,filthy,Vuil,Ngcolile kakhulu,-8.0,Negatif,Mot,Disgusting,Walglik
Tshikumbane,Assez Utile,,Heel Nuttig,Iwusizo impela,5.0,Positif,Mot,Quite Useful,Nogal nuttig
"Tshikumbane, tshiûja",Complet,complete,Volledige,Feza,8.0,Positif,Mot,Complete,Voltooi
Tshikusu,Ver,worm,Wurm,Impethu,-6.0,Negatif,Mot,Worm,Wurm
Tshikutu (tshia kapia),Fournaise,furnace,Oond,Imbuthuma,-7.0,Negatif,Mot,Furnace,Oond
"Tshikutu,
tshipukatshia mitshi",Buisson,bush,Bos,Ihlathi,0.0,Neutre,Mot,Bush,Bos
Tshilambuidi,Recette,recipe,Resep,Indlela yokwenza into ethize efana nokupheka,4.0,Positif,Mot,Recipe,Resep
Tshile,Long,long,Lang,-De,0.0,Neutre,Mot,Long,Lang
Tshilejelu,Exemple,example,Voorbeeld,Isibonelo,6.0,Positif,Mot,Example,Voorbeeld
Tshilele,Coutume,custom,Gewoonte,Umkhuba,5.0,Positif,Mot,Custom,Pasgemaak
"Tshilele, tshibidilu",Habitude,habit,Gewoonte,Isiko,4.0,Positif,Mot,Habit,Gewoonte
Tshilelela,Véritable,True,Waar,-Qotho,7.0,Positif,Mot,True,Waar
Tshilelela (tshia tshinfuanyi),Antitype,antitype,Teentipe,Ukuwobelana,0.0,Neutre,Mot,Antitype,Teenbeeld
Tshilema,Faute,mistake,Fout,Iphutha,-6.0,Negatif,Mot,Mistake,Fout
Tshilenduishi,Scandale,scandal,Skandaal,Amapeketwane,-8.0,Negatif,Mot,Scandal,Skandaal
Tshileshelu,Formule,formula,Formule,Uhlobo,4.0,Positif,Mot,Formula,Formule
Tshilobeshi,Proie,prey,Prooi,Inyamazane edliwayo,-6.0,Negatif,Mot,Prey,Prooi
Tshilongo,Fleur,flower,Blom,Umqhakazo,6.0,Positif,Mot,Flower,Blom
Tshilota,Songe,dream,Droom,Iphupha,7.0,Positif,Mot,Dream,Droom
Tshilotalota,Extase,ecstasy,Ekstase,Enyanyayo,9.0,Positif,Mot,Ecstasy,Ekstase
Tshilulu,Linge,linen,Linne,Okokulala embhedeni,0.0,Neutre,Mot,Linen,Linne
Tshia pa buloba,Terrestre,terrestrial,Aards,Umhlabathi,0.0,Neutre,Mot,Terrestrial,Terrestriële
Tshia pankatshi,Moitié,half,Half,Uhlangothi,0.0,Neutre,Mot,Half,Helfte
Tshia patupu,Déshonneur,dishonor,Oneer,Ukuhlamba,-8.0,Negatif,Mot,Dishonor,Eerloosheid
Tshia tshiendelele,Éternel,eternal,Ewig,-Ngapheliyo,9.0,Positif,Mot,Eternal,Ewig
Tshia tshipendu,Injurieux,insulting,Skadelik,-Casulayo,-7.0,Negatif,Mot,Offensive,Aanvallend
Tshia tshitshiu,Peuple,people,Mense,Abantu,4.0,Positif,Mot,People,Mense
Tshiabungi,Immense,immense,Ongelooflik,-Khulu kakhulu,8.0,Positif,Mot,Immense,Immens
Tshiadi,Poitrine,chest,Bors,Ibhokisi,0.0,Neutre,Mot,Chest,Bors
Tshiakabidi,Double,double,Dubbel,-Bili,0.0,Neutre,Mot,Double,Dubbel
Tshiakane Tshidi tshianyisha,Agréable Agréer,,Aangenaam Aanvaar,Kuyavunywa okumnandi,8.0,Positif,Mot,"Pleasant, agreeable","Aangenaam, aangenaam"
"Tshiakane Tshidi
tshisankisha",qui plait,,behaaglik,othanda,8.0,Positif,Mot,that pleases,dit behaag
Tshiakulakula,Conte,tale,Verhaal,Indaba,5.0,Positif,Mot,Tale,Verhaal
Tshiamu tshia mitaku,Airain,bronze,Koper,Ithusi,0.0,Neutre,Mot,Brass,koper
Tshiamua,Fer,iron,Yster,Insimbi yoku-ayina,0.0,Neutre,Mot,Iron,Yster
Tshianana,Nullement,not at all,Niks,Akunakwenzeka,-6.0,Negatif,Mot,Not at all,Glad nie
Tshianyishanyisha,Flatterie,flattery,Vleiery,-Tulall,-7.0,Negatif,Mot,Flattery,Vleiery
Tshianza,Main,hand,Hand,Isandla,4.0,Positif,Mot,Hand,Hand
Tshibanda,Descente,descent,Afkoms,Isimo esizayo,0.0,Neutre,Mot,Descent,Afkoms
Tshibandilu,Degré,degree,Graad,Ibanga,4.0,Positif,Mot,Degree,Graad
Tshibangidilu,Fondation,foundation,Stigting,Isisusa,6.0,Positif,Mot,Foundation,Stigting
Tshibangu,Bâton,stick,Personeel,Induku,0.0,Neutre,Mot,Stick,Stok
Tshibelu,Cuisse,thigh,Dybene,Ithanga,0.0,Neutre,Mot,Thigh,Dy
Tshibi,Mauvais,bad,Sleg,-Ngalungile,-8.0,Negatif,Mot,Bad,Sleg
Tshibipe,Impur,impure,Onrein,Ngcolisa,-6.0,Negatif,Mot,Impure,Onsuiwer
Tshibishi,Vert,Green,Groen,-Yimpatho,0.0,Neutre,Mot,Green,Groen
Tshibobe,Maturité,maturity,Rypheid,Ukuvuthwa,7.0,Positif,Mot,Maturity,Volwassenheid
Tshibombu,Bourse,sotck exchange,Beurs,SOTCK Exchange,4.0,Positif,Mot,Sotck exchange,Sotck-uitruiling
Tshibueledi,Accès,access,Toegang,Tholakala,6.0,Positif,Mot,Access,Toegang
Tshibuikilu (tshia mushete wa tshipungidi),Propitiatoire,propitiatory,Versoenend,Okuphathelene nenkululeko,8.0,Positif,Mot,Propitiatory,Versoenende
"Tshibuikilu tshia pa
tshiadi",Cuirasse,armor,Borsplaat,Isihlanzi sesifuba,5.0,Positif,Mot,Breastplate,Borsharnas
Tshibulula,Ouvert,open,Oop,Vula,6.0,Positif,Mot,Open,Oop
Tshibumba,Muraille,wall,Muur,Udonga,0.0,Neutre,Mot,Wall,Muur
Tshibungubungu,Côte,side,Rib,Usebe,0.0,Neutre,Mot,Side,Kant
Talala,Paisiblement,peacefully,Vreedsaam,Ngokuba khona,8.0,Positif,Mot,Peacefully,Vreedsaam
Tatu,Père,father,Vader,Uyihlo,9.0,Positif,Mot,Father,Vader
Thuya,Thuya,thuja,Thuja,Thuja,0.0,Neutre,Mot,Thuya,Thuya
Topaze,Topaze,topaz,Topas,Isihloko,7.0,Positif,Mot,Topaz,Topaas
Tsha kabidi,Nouveau,new,Nuut,-Kwanamuhla,6.0,Positif,Mot,New,Nuut
Tshabungi be,Abondamment,abundantly,Oorvloedig,Kakhulu,8.0,Positif,Mot,Abundantly,Oorvloedig
Tshakane (tshidi),ce qui est,,wat is,yini,9.0,Positif,Mot,which is,wat is
Tsheya,Caution,deposit,Versigtig,Faka,7.0,Positif,Mot,Caution,Versigtigheid
Tshia bademon,Diabolique,diabolical,Duiwels,Diabolical,-8.0,Negatif,Mot,Diabolical,Duiwels
Tshia bukelenge,Royal,royal,Koninklik,-Obukhosi,9.0,Positif,Mot,Royal,Koninklike
Tshia buowa,Terrible,terrible,Verskriklik,-Sabisayo,-7.0,Negatif,Mot,Terrible,Verskriklik
Tshia butumbi,Splendidement,splendidly,Pragtig,Ngokubabazekayo,8.0,Positif,Mot,Splendidly,Wonderlik
"Tshia dikumi, Kufila tshitupa atshi",îmer,Ã®mer,Onderdompelbaar,îmer,6.0,Positif,Mot,îmer,îmer
Tshia dimomena,Rouillé,rust,Roestig,Ukugqwala,-6.0,Negatif,Mot,Rust,Roes
Tshia kale (muleji),Ancien ,ancient,Antieke,-Daladala,4.0,Positif,Mot,Ancient ,Antieke 
Tshia kudia,Aliment,food,Kos,Ukudla,6.0,Positif,Mot,Food,Kos
Tshia kufunda,Tablette,tablet,Tablet,Iphilisi,0.0,Neutre,Mot,Tablet,Tablet
Tshia kuitaba,Acceptable,acceptable,Aanvaarbaar,-Mukelekile,8.0,Positif,Mot,Acceptable,Aanvaarbaar
Tshia kunua,Breuvage,beverage,Drank,Okokuphuza,5.0,Positif,Mot,Beverage,Drankie
Tshia mu diulu,Céleste,celestial,Hemels,-Bukeyela basezulwini,9.0,Positif,Mot,Celestial,Hemelse
Tshia mu tshisuku,Sauvage,savage,Wilde,-Dlovulile,-4.0,Negatif,Mot,Savage,Wilde
Tshia mubidi,Corporellement,bodily,Figiaal,-Ngomzimba,0.0,Neutre,Mot,Physically,Fisies
Tshia muinshi (mua buloba),Infernal,infernal,Helagtige,I-infernal,-8.0,Negatif,Mot,Infernal,Helse
Tshia nvita,Dépouille,remains,Buit,Inqobe,-6.0,Negatif,Mot,Remains,Oorblyfsels
Tshia Nyuma,Spirituel,spiritual,Geestelik,-Kwenhliziyo,9.0,Positif,Mot,Spiritual,Geestelik
Tshia Nzambi,Divin,divine,Goddelike,-Ngenaphezulu,9.0,Positif,Mot,Divine,Goddelik
Tshibungubungu,Rivage,shore,Kus,Ugu,4.0,Positif,Mot,Shore,Kus
"Tshibutshidi; tshintu
tshia mushinga mukole",Trésor,treasure,Skat,Igugu,8.0,Positif,Mot,Treasure,Skat
Tshibutshilu,Cellier,cellar,Kelder,Sela,0.0,Neutre,Mot,Cellar,Kelder
Tshidi kapia,Bouillant,boiling,Kookend,Bilisa,-3.0,Negatif,Mot,Boiling,Kook
"Tshidi katshiyi mua
kujingulula",Insondable,unfathomable,Onpeilbaar,-Ngenalo,8.0,Positif,Mot,Unfathomable,Onpeilbaar
Tshidi katshiyi Tshijiminaa,Impérissable,imperishable,Onverganklik,Ukungabona lutho,9.0,Positif,Mot,Imperishable,Onverganklik
"Tshidi katshiyi
tshijinguluka; bundu",Confus,confused,Verward,Didekile,-6.0,Negatif,Mot,Confused,Verward
Tshidi katshiyi tshinyanguka,Incorruptible,incorruptible,Onbederflik,-Nokulimala,9.0,Positif,Mot,Incorruptible,Onverganklik
Tshidi katshiyi tshipetangana ne tshikuabu,Contraire,opposite,Teenstrydig,Bhekene,-5.0,Negatif,Mot,Opposite,Teenoorgestelde
"Tshidi ne bukole,",Valide,valid,Geldig,-Lungile,8.0,Positif,Mot,Valid,Geldig
Tshidi ne bulelela,Sincérité,sincerity,Opregtheid,Ubuqatha,9.0,Positif,Mot,Sincerity,Opregtheid
Tshidi ne ngikadilu wa bukole,Endurcissement,hardening,Verharding,Ukuqina,-7.0,Negatif,Mot,Hardening,Verharding
Tshidi pepi,Proche,close,Naby,Ngokuminyanisa,6.0,Positif,Mot,Close,Maak toe
Tshidi tsha bundu,Infâme,infamous,Berug,-Ngokwesabekayo,-8.0,Negatif,Mot,Infamous,Berugte
Tshidi tshia bonso,Public,audience,Openbaar,Abathameli,4.0,Positif,Mot,Audience,Gehoor
Tshidi tshia kuakaja,Traitable,treatable,Skatbaar,Yelaphe,7.0,Positif,Mot,Treatable,Behandelbaar
Tshidi tshia tshijila,Magnifique,Magnificent,Pragtig,-Bucwazicwazi,9.0,Positif,Mot,Gorgeous,Pragtig
Tshidi tshia tshilele,Naturel,natural,Natuurlik,-Yimvelo,8.0,Positif,Mot,Natural,Natuurlik
Tshidi tshiengelela,Lumineux,bright,Lig,-Gqamile,9.0,Positif,Mot,Bright,Helder
Tshidi tshikenka,Éclatant,brilliant,Briljant,-Benyezelayo,8.0,Positif,Mot,Brilliant,Briljant
Tshidi tshikongyangale,Tortu,tortoise,Verdraaid,Ufudu lwasemanzini,-6.0,Negatif,Mot,Turtle,Skilpad
Tshidi tshikulukulu,Vieux,old,Ou,-Dala,0.0,Neutre,Mot,Old,Oud
Tshidi tshimpe be,Excellent,excellent,Uitstekend,-Hle kakhulu,9.0,Positif,Mot,Excellent,Uitstekend
Tshidi tshimueneka,Visible,visible,Sigbaar,Qavile,7.0,Positif,Mot,Visible,Sigbaar
"Tshidi tshishala
tshiendelele",Permettre,allow,Toelaat,Vuma,6.0,Positif,Mot,Allow,Laat toe
Tshidi tshitabujibua,Supportable,bearable,Draaglik,-Bekezelekayo,5.0,Positif,Verbe,Bearable,Draaglik
Tshidi tshitupu,Vide,empty,Leeg,-Ngahlali lutho,-4.0,Negatif,Mot,Empty,Leeg
Tshidi tshiyanguka,Corruptible,corruptible,Korrupteerbaar,-Nesomana,-8.0,Negatif,Mot,Corruptible,Korrupteerbaar
Tshidibuluenyi,Aneth,dill,Dille,Diss,0.0,Neutre,Mot,Dill,Dille
Tshidikijilu tshia lubilu,Course,race,Ras,Jaha,4.0,Positif,Mot,Race,Ras
Tshidilu (tshia nyama),Crèche,crib,Kwekery,Umkhombe,0.0,Neutre,Mot,Crib,Krip
Tshidimba,Gouvernail,rudder,Roer,Isiqondiso sebhanoyi,5.0,Positif,Mot,Rudder,Roer
Nzubu wa kunvua bilumbu,Audience,audience,Gehoor,Ukuzwa,6.0,Positif,Mot,Audience,Gehoor
Nzubu wa lukanu,Prison,prison,Gevangenis,Itilongo,-8.0,Negatif,Mot,Prison,Gevangenis
Nzubu wa masalayi,Forteresse,fortress,Fort,Inqaba enkulu eyakhiweyo,7.0,Positif,Mot,Fortress,Vesting
"Nzubu wa tshilala
benyi",Hôtellerie,hotel industry,Koshuis,Ukuphana nezicolo ezihambini,4.0,Positif,Mot,Hospitality,Gasvryheid
Nangananga,Nécessairement,necessarily,Noodwendig,-Yicingeni,6.0,Positif,Mot,Necessarily,Noodwendig
Ndeji,Nourrice,nurse,Verpleegster,Umhlengi,5.0,Positif,Mot,Nurse,Verpleegster
Ndekelu,Terme,term,Termyn,Ukuphela,0.0,Neutre,Mot,Term,Termyn
Ndelanganyi,Génération,generation,Generasie,Ukukhiqiza,6.0,Positif,Mot,Generation,Generasie
Ndenalio,Denier,denier,Pensioen,Jika,0.0,Neutre,Mot,Denier,Ontkenner
Ndobo,Hameçon,hook,Haak,Isihintshelo,0.0,Neutre,Mot,Hook,Haak
Ndondo,Profondeur,depth,Diepte,Ukujula,-7.0,Negatif,Mot,Depth,Diepte
Ne bubanji,Richement,richly,Ryklik,Ngokucebile,8.0,Positif,Mot,Richly,Ryklik
Ne bukole,Puissamment,powerfully,Kragtig,Ngokunamandla,9.0,Positif,Mot,Powerfully,Kragtig
Ne bundu,Motinieusement,motiniously,Bewus,Ngobuhlungu,-8.0,Negatif,Mot,Motivously,Motiveerlik
Ne bupuekele,Simplicité,simplicity,Eenvoud,Ukungabi lula,8.0,Positif,Mot,Simplicity,Eenvoud
Ne dikima,Hardiment,boldly,Dapper,Ngesibindi,7.0,Positif,Mot,Boldly,Dapper
Ne disanka,Volontiers,gladly,Gewillig,Ngobuhlakani,8.0,Positif,Mot,Gladly,Graag
Ne disua,Spontanément,spontaneously,Spontaan,Ngokuzenzakalelayo,9.0,Positif,Mot,Spontaneously,Spontaan
Ne lukasa,Promptement,promptly,Stiptelik,Masinyane,8.0,Positif,Mot,Promptly,Snel
"Ne mutshima
mutoke",Libéralement,liberally,Vrygewig,Ngokulula,9.0,Positif,Mot,Liberally,Vrygewig
Ne mutshima umue,Unanimement,unanimously,Eenparig,Ngokufanele,9.0,Positif,Mot,Unanimously,Eenparig
Ne Nzala,Jeun,young,Vas,-Ncane,-6.0,Negatif,Mot,Young,Jong
Ne tshiji,Misérablement,miserably,Ellendig,Ngokudabukisayo,-8.0,Negatif,Mot,Miserably,Jammerlik
Ne tshijila,Purement,purely,Suiwer,Kuphela,9.0,Positif,Mot,Purely,Suiwer
Neje,Neige,snow,Sneeu,Iqhwa elikhithikile,6.0,Positif,Mot,Snow,Sneeu
Nfigi,Figue,fig,Vy,Umkhiwane,5.0,Positif,Mot,Fig,Fig
Nfudilu,Bout,end,Einde,Ukugcina,0.0,Neutre,Mot,End,Einde
Nfulakatelio,Pièce,piece,Stuk,Isiqephu,4.0,Positif,Mot,Piece,Stuk
Nfumu,Chef,chief,Hoof,Ophethe,7.0,Positif,Mot,Chief,Hoof
Ngabu,Bouclier,shield,Skild,Isihlangu,6.0,Positif,Mot,Shield,Skild
Ngasa,Grâce,grace,Genade,Umusa,9.0,Positif,Mot,Grace,Genade
"Ngasa, disanka,",Gré,willingly,Groen,Bhethizetheka,7.0,Positif,Mot,Gré,Gré
Ngelelu wa Menji,Raisonnement,reasoning,Redenering,Ukucabanga,8.0,Positif,Mot,Reasoning,Redenering
Ngena,Géhenne,Gehenna,Gehenna,IGehena,-9.0,Negatif,Mot,Gehenna,Gehenna
Ngenda mushinga,Marchand,merchant,Handelaar,Umthengisi,4.0,Positif,Mot,Merchant,Handelaar
Ngikadilu,Qualité,quality,Kwaliteit,Ikhwalithi,0.0,Neutre,Mot,Quality,Kwaliteit
Ngolo,Or,gold,Goud,Igolide,8.0,Positif,Mot,Gold,Goud
Ngombe,Bœuf,beef,Os,Inyama yenkomo,0.0,Neutre,Mot,Beef,Beesvleis
Ngondo,Mois,month,Maand,Inyanga,6.0,Positif,Mot,Month,Maand
Ngulube,Pourceau,pig,Vark,I-Pellet,-6.0,Negatif,Mot,Pig,Vark
Ngulube mukaji,Truie,sow,Sag,I-Sow,-5.0,Negatif,Mot,Sow,Saai
Nhikidilu,Fin,END,Einde,Iyaphela,7.0,Positif,Mot,END,EINDE
Njanu,Murmure,murmur,Murmureer,Hlebeza,-6.0,Negatif,Mot,Murmur,Murmur
"Njetu, mulemenda",Boiteux,lame,Kramp,Ugogekile,-7.0,Negatif,Mot,Lame,Kreupel
Njila,Voie,way,Weg,Landelela,6.0,Positif,Mot,Way,Manier
Njila wa kupatukila,Issue,issue,Uitgang,Inkinga,5.0,Positif,Mot,Issue,Probleem
Njila; kuya ne,Route,road,Pad,Umgwaqo,4.0,Positif,Mot,Road,Pad
Njiû,Périlleux,perilous,Gevaarlik,Kuyingozi,-7.0,Negatif,Mot,Perilous,Gevaarlik
Nkama ibidi,Deux cents,,Tweehonderd,Amakhulu amabili,0.0,Neutre,Nombre,Two hundred,Tweehonderd
Nkama inayi,Quatre cents,,Vier honderd,Amakhulu amane,0.0,Neutre,Nombre,Four hundred,Vierhonderd
Malu a kukema,Merveill,marvel,Verwondering,Kuyamangalisa,9.0,Positif,Mot,Marvel,Verwonder
Malu adi kaayi a Nzambi,Impiété,impiety,Ongeloof,Ukungabi namaphutha,-8.0,Negatif,Mot,Impiety,Goddeloosheid
Maluvu,Cervoise,beer,Bier,I-Cervoise,0.0,Neutre,Mot,Beer,Bier
Maluvu (a nvinyo),Vin,wine,Wyn,Iwayini,0.0,Neutre,Mot,Wine,Wyn
Mamata,Grumeau,lump,Klont,Isigaxa,-4.0,Negatif,Mot,Lump,Klomp
Maminu,Produit,product,Produk,Umkhiqizo,5.0,Positif,Mot,Product,Produk
Mamona,Richess,riches,Rykdom,Ingcebo,-7.0,Negatif,Mot,Wealth,Rykdom
Mampanu,Tuile,tile,Teël,Ithayili,0.0,Neutre,Mot,Tile,Teël
Mamu,Mère,mother,Moeder,Umama,9.0,Positif,Mot,Mother,Moeder
Mana,Manne,manna,Manna,Mana,8.0,Positif,Mot,Manna,Manna
Manananshi,Parfum,scent,Parfuum,Iphunga,7.0,Positif,Mot,Scent,Geur
Mananshi a Nado,Nard,nard,Nardus,I-Nard,6.0,Positif,Mot,Nard,Nardus
Mansanga,Coin,corner,Mielies,Ikhona,0.0,Neutre,Mot,Corner,Hoek
Manseba,,,,,4.0,Positif,Mot,,nan
