CILUBA,French,Afrikaans,Zulu,Score,Sentiment,Nature,English_Translation,Tsonga_Translation
Mu tshikoso,Brièvement,Kortliks,Kafushane,7.0,Positif,Mot,Briefly,Hi ku komisa
Mu tshilele,Traditionnellement,Tradisioneel,Ngokwesiko,8.0,Positif,Mot,Traditionally,Hi ndhavuko
Muaba,Région,Streek,Indawo:,5.0,Positif,Mot,Region,Ndhawu
Muaba mupengame,Écart,Gap,Ukuhlukahluka,-4.0,Negatif,Mot,Gap,Vangwa
Muaba mutumbuke,Estrade,Platform,Isiteji,4.0,Positif,Mot,Platform,Ndhawu
Muaba wa bafue,Hadès,Hades,IHayidesi,-9.0,Negatif,Mot,Hades,Hayidesi
Muaba wa kuala,Logement,Woning,Indawo yokuhlala,5.0,Positif,Mot,Accommodation,Vutshami
Muaba wa mabue,Pavé,Keisteen,I-Pavé,0.0,Neutre,Mot,Paving stone,Ribye ro pava
Muaba wetu (ditunga),Patrie,Tuisland,Izwe lobaba,8.0,Positif,Mot,Country,Tiko
Muabanyanganyi,Participant,Deelnemer,Umhlanganyeli,6.0,Positif,Mot,Participant,Mutekaxiave
Muadi,Pleur,Huil,Ukukhala,-6.0,Negatif,Mot,Crying,Ku rila
Muakane,Juste,Regverdige,Ilungile,9.0,Positif,Mot,Just,Njhe
Muakuidi,Sacrificateur,Priester,Umhlatsheli,7.0,Positif,Mot,Sacrificer,Muendli wa gandzelo
Muakuidi munene,Souverain sacrificateur,Hoëpriester,UmPristi Ophakeme,9.0,Positif,Mot,High priest,Muprista Lonkulu
Muakulu,Langage,Taal,Ulimi,6.0,Positif,Mot,Language,Ririmi
Muakulu (mukese),Dialecte,Dialek,Ulwimi lolimi,5.0,Positif,Mot,Dialect,Xivulavulelo xa ririmi
Muambi,Prédicateur,Prediker,Isibikezeli,8.0,Positif,Mot,Preacher,Muchumayeri
Muambuluishangany,Associé,Medewerker,Umlingani,7.0,Positif,Mot,Partner,Mutirhisani
Muan'abo mukashi,Sœur,Suster,Udadewethu,8.0,Positif,Mot,Sister,Sesi
Muana,"Enfant,
Petit","Kind,_x000D_
Klein","Ingane,
Encane",7.0,Positif,Mot,"Child, Little","N’wana, Lontsongo"
Muana bute,Premier-né,Eersgeborene,Izibulo,8.0,Positif,Mot,Firstborn,Mavulavula
Muana mukaji,Fille,Dogter,Intombazane,7.0,Positif,Mot,Girl,Nhwana
Muana mulume,Fils,Seun,Izintambo,8.0,Positif,Mot,Son,N’wana wa jaha
Muana wa dibutuka,Fils de perdition,Seun van die Verdoemenis,Amadodana Okubhujiswa,-8.0,Negatif,Mot,Son of perdition,N’wana wa ku lovisiwa
Muana wa masandi,Bâtard,Basterd,Isiphithiphithi,-7.0,Negatif,Mot,Bastard,N&#39;wamavunwa
Muana wa mu ngena,Fils de la géhenne,Seun van Gehenna,Amadodana EGehena,-9.0,Negatif,Mot,Son of Gehenna,N’wana wa Gehena
Muana wa mukoko,Agneau,Lam,IWundlu,9.0,Positif,Mot,Lamb,Nyimpfu
Muana wa munya,Fils de la lumière,Seun van die Lig,Amadodana Okukhanya,9.0,Positif,Mot,Son of light,N’wana wa ku vonakala
Muana wa ngombe mukaji,Génisse,Vers,Heifer,0.0,Neutre,Mot,Heifer,Ximanga xa xisati
Muana wa Ngombe,Veau,Kalf,Inkonyane,0.0,Neutre,Mot,Calf,Xirhodyana
Muana wa nshiye,Orphelin,Weeskind,Intandane,-6.0,Negatif,Mot,Orphan,Xisiwana
Muanda mukulu,Huit,Agt,Isishiyagalombili,0.0,Neutre,Nombre,Eight,Nhungu
Muanda mutekete,Sept,Sewe,Isikhombisa,0.0,Neutre,Nombre,Seven,Nkombo wa nkombo
Muanetu,Frère,Broer,Mfowethu,8.0,Positif,Mot,Brother,Buti
Muangatshi pamue,Coparticipant,Mededeelnemer,Umhlanganyeli ongumhlanganyeli,7.0,Positif,Mot,Co-participant,Mutekaxiave-kulobye
Muanjelo,Ange,Engel,Ingelosi,9.0,Positif,Mot,Angel,Ntsumi
"Muanjelo mutambe
bakuabu",Archange,Aartsengel,Ingelosi enkulu,9.0,Positif,Mot,Archangel,Ntsumi-nkulu
Muanzankongolo,Arc en ciel,Reënboog,Uthingo,9.0,Positif,Mot,Rainbow,N’weti wa n’weti
Muasambi,Consolateur,Trooster,Umduduzi,8.0,Positif,Mot,Comforter,Muchaveleri
Mubaki,Époux,Man,Umyeni,7.0,Positif,Mot,Husband,Nuna
Mubandi,Accusateur,Aanklaer,Ummangaleli,-7.0,Negatif,Mot,Accuser,Muhehli
Mubandi wa pa kabalu,Cavalier,Ruiter,I-Jumper,4.0,Positif,Mot,Rider,Mukhandziyi
Mubanga,Ivoire,Ivoor,Ivory,6.0,Positif,Mot,Ivory,Ivory ya xirhendzevutani
Mubangi wa malu mapia-mapia,Inventeur,Uitvinder,Umsunguli,7.0,Positif,Mot,Inventor,Musunguri wa swilo
Mubangila,Fiancé,Verloofde,I-Fiancé,8.0,Positif,Mot,Fiance,Murhandzani
Mubangu,Frange,Knal,I-Fringe,0.0,Neutre,Mot,Fringe,Fringe ya xirhendzevutani
Mubanji,Riche,Ryk,Ecebile,8.0,Positif,Mot,Rich,Rifumo
Mubengibue,Illicite,Onwettig,Okungekho emthethweni,-8.0,Negatif,Mot,Illicit,Swi nga ri enawini
Mubi (muaku),Méchant,Slegte,I-villain,-7.0,Negatif,Mot,Wicked,Nsele
Mubi (Mufidi muleji),Méchant,Slegte,I-villain,-6.0,Negatif,Mot,Wicked,Nsele
Mubidi,Corps,Liggaam,Umzimba,0.0,Neutre,Mot,Body,Miri
Mubidi udi umueneka,Extérieur,Eksterieur,Ingaphandle,0.0,Neutre,Mot,Outside,Handle
Mubikila,Convié,Gas,I-Convié,7.0,Positif,Mot,Invited,Ku rhambiwile
"Mubisha, Muvuijibue pa mutu pa mulu",Élevé,Hoog,Phezulu,8.0,Positif,Mot,Pupil,N&#39;wana wa xikolo
Mubumbakane,Étroit,Smal,Okuncane,-4.0,Negatif,Mot,Narrow,Lala
Mubundabunda,Meurtrissure,Gekneus,I- Mourtrisseure,-7.0,Negatif,Mot,Bruise,Ku vaviseka
Mubungame,Triste,Hartseer,Kuyadabukisa,-6.0,Negatif,Mot,Sad,Swi twisa ku vava
Mudianjidi,Précurseur,Voorloper,Isandulela,8.0,Positif,Mot,Precursor,Xisunguri
Mudiba,Grenier,Graanskuur,I-Attic,5.0,Positif,Mot,Attic,Attic
Mudiimu mukole,Faix,Las,I-Faix,-5.0,Negatif,Mot,Faix,Faix
Mudimu,Administration,Administrasie,Ukuphatha,7.0,Positif,Mot,Administration,Vufambisi
Mudimu mukole,Labeur,Arbeid,Umsebenzi,5.0,Positif,Mot,Labor,Tirha
Mudimu wa bianza,Métier,Handel,Ibhizinisi,6.0,Positif,Mot,Job,Ntirho
Mudimuke,Prudent,Versigtig,Ukuqapha,8.0,Positif,Mot,Careful,Vukheta
Mudingi,Imposteur,Bedrieër,Umkhohlisi,-8.0,Negatif,Mot,Impostor,Mukanganyisi
Mudishikamine,Libre,Vry,Mahhala,9.0,Positif,Mot,Free,Tshunxeka
Mudishikamine (udi),Affranchi,Vrygelaste,Iposi likhokhiwe,8.0,Positif,Mot,Freedman,Mutshunxeko
Mudisui,Orgueilleux,Trots,Uyaziqhenya,-7.0,Negatif,Mot,Proud,Nyungubyisa
Muele,Faucille,Sekel,Ukugula,0.0,Neutre,Mot,Sickle,Xigwitsirisi
Muele (wa nvita),Épée,Swaard,Inkemba,5.0,Positif,Mot,Sword,Banga
Muena (tshisamba),Appartenir,Behoort,Zizwe usekhaya,6.0,Positif,Verbe,Belong,Waka
Muena ba demon,Démoniaque,Demonies,Okungamademoni,-9.0,Negatif,Mot,Demonic,Vudimona
Muena biakulakula,Discoureur,Spraakspreker,I-Discoureur,-4.0,Negatif,Mot,Orator,Muvulavuleri
Muena buatu,Matelot,Matroos,Itilosi,4.0,Positif,Mot,Sailor,Mutluti wa swikepe
Muena bupidia,Désobéissant,Ongehoorsaam,Abalaleli,-7.0,Negatif,Mot,Disobedient,Ku nga yingisi
Muena dibanza,Débiteur,Skuldaar,Umuntu okweletayo,-5.0,Negatif,Mot,Debtor,Mukoloti
Muena dikenga,Misérable,Ellendig Veragter,Kuyadabukisa,-7.0,Negatif,Mot,Miserable,Hlangahlangana
Muena dipetu,Contempteur,Leuenaar,Umdeleli,-6.0,Negatif,Mot,Scorner,Muhlekuri
Muena dishima,Menteur,Hebreeus,Umqambimanga,-7.0,Negatif,Mot,Liar,Muhembi
Muena ebelu,Hébreu,Verlam,isi-Hebheru,4.0,Positif,Mot,Hebrew,Xiheveru
Muena kaneke,Paralytique,Christen,Umuntu okhubazekile,-6.0,Negatif,Mot,Paralytic,Ku oma swirho
Muena kilisto,Chrétien,Verwantskap,UmKristu,8.0,Positif,Mot,Christian,Mukreste
Muena kuabu,Parenté,Leviet,Ubuhlobo,6.0,Positif,Mot,Relationship,Vuxaka
Muena Lewi,Lévite,Wreed,UmLevi,5.0,Positif,Mot,Levite,Mulevhi
Muena lonji,Cruel,Huigelaar,Unonya,-8.0,Negatif,Mot,Cruel,Tihanyi
Muena lubombo,Hypocrite,Gevangene,Umzenzisi,-7.0,Negatif,Mot,Hypocritical,Vukanganyisi
Muena lukanu,Prisonnier,Yweraar,Isiboshwa,-6.0,Negatif,Mot,Prisoner,Mubohiwa
Muena lukunukunu,Zélote,Wyse,U-Zealot,5.0,Positif,Mot,Zealot,Ku hisekela etlhelo
Muena lungenyi,Sage,Hoereeraar,Okuhlakaniphile,9.0,Positif,Mot,Wise,Tlharihile
Muena masandi,Fornicateur,Stryderig,Isifebe,-8.0,Negatif,Mot,Fornicator,Muoswi
Muena matandu,Disputeur,Onmatig,I-Dispenser,-6.0,Negatif,Mot,Disputer,Mukaneti
Muena mudi,Intempérance,Dienskneg,Ukungabi Nesizotha,-7.0,Negatif,Mot,Intemperance,Ku pfumala ku tikhoma
Muena mudimu,Domestique,Tuinier,Okwasekhaya,7.0,Positif,Mot,Domestic,Xikaya
Muena mudimu wa mu muaba aba,Jardinier,Eter,Unakekeli wengadi,5.0,Positif,Mot,Gardener,Muhlayisi wa ntanga
Muena mudio,Mangeur,Towenaar,Umuntu odlayo,3.0,Neutre,Mot,Eater,Mudyi wa swakudya
Muena mupongo,Magicien,Sagmoedig,Umlumbi,4.0,Positif,Mot,Magician,Muendli wa masalamusi
Muena mutshima mupuekele,Débonnaire,Liberaal,I-Debonaire,7.0,Positif,Mot,Good-natured,Ku va ni vumunhu lebyinene
"Muena mutshima wa luse (bua
kukuatshisha)",Libéral,Metgesel,I-Liberal,8.0,Positif,Mot,Liberal,Ku ntshunxeka
Muena nabu,Compagnon,Melaatse,Umlingani,7.0,Positif,Mot,Companion,Ntangha
Muena Nsudi,Lépreux,Inwoner,Uchoko,-6.0,Negatif,Mot,Leper,Muvabyi wa nhlokonho
Muena pa muaba,Habitant,Stoïsyns,Ohlala abantu,5.0,Positif,Mot,Resident,Mutshami
Muena Stoiko,Stoïcien,Afskuwelik,Isi-Stoic,6.0,Positif,Mot,Stoic,Xistoyika
Muena tshinyangu,Abominable,Vergeetagtig,Okunyanyekayo,-8.0,Negatif,Mot,Abominable,Swi nyenyetsa
"Muena
tshipuamuoyo",Oublieux,Malkop,Ukukhohlwa,-5.0,Negatif,Mot,Forgetful,Ku rivala
Muena tshiseke,Lunatique,Bejammerenswaardig,Okwase-Lunatic,-6.0,Negatif,Mot,Moody,Matitwelo
Muena yenda,Pite,Prostituut,I-Pite,-4.0,Negatif,Mot,Pite,Pite
Muendi wa masandi mukaji.,Prostituée,Walg,Isifebe,-8.0,Negatif,Mot,Prostitute,Nghwavava
Muengu (kupidia ne muengu),Dégoût,Maker,Ukunyanyeka,-7.0,Negatif,Mot,Disgust,Ku nyenyetsa
Muenji,Faiseur,Sondaar,Umenzi,6.0,Positif,Mot,Maker,Muendli wa swilo
Muenji wa bibi,Pécheur,Weldoener,Umdobi,-8.0,Negatif,Mot,Fisherman,Muphasi wa tinhlampfi
Muenji wa bilengele,Bienfaiteur,Boosdoener,Umhlomuli,9.0,Positif,Mot,Benefactor,Mupfuni
Muenji wa malu mabi,Malfaiteur,Wetgewer,I- Malefactor,-8.0,Negatif,Mot,Criminal,Xigevenga
Muenji wa mikenji,Législateur,Skoumaker,Isishayamthetho,8.0,Positif,Mot,Legislator,Muendli wa milawu
Muenyi,Forain,Gasheer,I-Fairground,4.0,Positif,Mot,Fairground,Ndhawu yo tlangela eka yona
"Muenyi, muena nzubu",Hôte,Outeur,Umbungazi,6.0,Positif,Mot,Host,Murhurheli
Muenzeji,Auteur,Filosoof,Ukhetho,7.0,Positif,Mot,Author,Mutsari
Mufalese,Philosophe,Donker,Isazi sefilosofi,8.0,Positif,Mot,Philosopher,Mutivi wa filosofi
Mufike,Ténébreux,Duisternis,Okumnyama,-6.0,Negatif,Mot,Dark,Xinyama
Mufitu,Obscurité,Blindheid,Ubumnyama,-8.0,Negatif,Mot,Darkness,Munyama
Mufofo (muaku),Aveugle,Blind,Impumputhe,-6.0,Negatif,Mot,Blind,Bofu
Mufuanangane,Semblable,Soortgelyk,Okufanayo,5.0,Positif,Mot,Similar,Fana
Mufuba,Os,Been,OS:,0.0,Neutre,Mot,Bone,Rhambu
Mufudi,Ride,Rimpel,Ukugibela,-4.0,Negatif,Mot,Wrinkled,Ku rhurhumela
Mufue,Mort,Dood,Ukufa,-5.0,Negatif,Mot,Dead,File
"Mufuidianganyi wa
luse",Compatissant,Medelydende,Unesihawu,8.0,Positif,Mot,Compassionate,Ntwela vusiwana
Mufuki,Créateur,Skepper,Isidali:,9.0,Positif,Mot,Creator,Muvumbi
Mufumbi wa dima,Potier,Pottebakker,Umbumbi,6.0,Positif,Mot,Potter,Muvumbi
Mufundi,Scribe,Skrywer,Bhalisa,7.0,Positif,Mot,Scribe,Mutsari
Mufundu,Écriteau,Teken,Umbhali,5.0,Positif,Mot,Sign,Mfungho
Mufutshi,Rémunérateur,Belonende,I-Remunerator,8.0,Positif,Mot,Remunerative,Ku hakela
Muibaki,Architecte,Argitek,Umakhi wezakhiwo,7.0,Positif,Mot,Architect,Mupulani wa tindlu
Muibi,Voleur,Dief,Isela,-8.0,Negatif,Mot,Thief,Khamba
Muibidi,Second,Tweede,Okwesibili,5.0,Positif,Mot,Second,Sekondi
Muidikiji,Imitateur,Nabootser,Umlingisi,6.0,Positif,Mot,Imitator,Mutekeleri
Muikale,Situé,Geleg,Itholakala,4.0,Positif,Mot,Located,Ku kumeka
Muimbi wa misambu,Musicien,Musikant,Umculi,7.0,Positif,Mot,Musician,Muyimbeleri wa vuyimbeleri
Muimitshisha,Enceinte ,Spreker,Okhulelwe,0.0,Neutre,Mot,Pregnant ,Vuyimana 
Muimpe (oleve),Franc,Frank,Iphoyisa,1.0,Positif,Mot,Franc,Franc
Muinda,Lampe,Lamp,Isibani,2.0,Positif,Mot,Lamp,Rivoni
Muinshi mua makasa,Plante ,Plant,Isitshalo,-2.0,Negatif,Mot,Plant ,Ximila 
"Muinshi mua,
bukokeshi",Obligation,Verpligting,Isibopho,-3.0,Negatif,Mot,Obligation,Xiboho
Muisatu,Troisième,Derde,Okwesithathu,0.0,Neutre,Mot,Third,Vunharhu
Mujadiki,Oculaire,Okulêr,I-Eyepiece,0.0,Neutre,Mot,Eyepiece,Xitirhisiwa xa mahlo
Muji,Racine,Wortel,Impande,0.0,Neutre,Mot,Root,Rimitsu
Mujikiji,Consommateur,Verbruiker,Umthengi,0.0,Neutre,Mot,Consumer,Muxavi
Mujinguludi,Interprète,Uitvoerder,Umhumushi,2.0,Positif,Mot,Interpreter,Ntoloki
Mukaba,Ceinture,Gord,Ibhande,0.0,Neutre,Mot,Belt,Bandi
Mukaji,Épouse,Vrou,Unkosikazi,5.0,Positif,Mot,Marry,Vukati
Mukaji (Nginabanza),Dame,Dame,Owesifazane,4.0,Positif,Mot,Lady,Wansati
Mukaji wa mu lufuila,Veuve,Weduwee,Umfelokazi,-4.0,Negatif,Mot,Widow,Muferiwa
Mukalu,Confins,Grense,Ama-confins,1.0,Positif,Mot,Borders,Mindzilakano
Mukana,Bouche,Mond,Umlomo,0.0,Neutre,Mot,Mouth,Nomu
Mukanda,Livre,Boek,Bhukha,3.0,Positif,Mot,Book,Buku
Mukanda (mayi),Encre,Ink,Uyinki,0.0,Neutre,Mot,Ink,Inki
Mukanda muvung,Rouleau,Rol,I-roller,0.0,Neutre,Mot,Roll,Khunguluxa
Mukanda wa bumanyishi,Lettre de recommandation,Brief van Aanbeveling,Incwadi yokutusa,6.0,Positif,Mot,Letter of recommendation,Papila ra xitsundzuxo
Mukawu,Jalousie,Jaloesie,Umhawu,-6.0,Negatif,Mot,Jealousy,Mavondzo
Mukebi,Meneur,Leier,Umholi,2.0,Positif,Mot,Leader,Murhangeri
Mukelenge,Seigneur,Heer,Nkosi,3.0,Positif,Mot,Lord,Xikwembu
"Mukelenge (muana
wa)",Prince,Prins,INkosana,4.0,Positif,Mot,Prince,Prince
Mukelenge alue biandi,Maranatha,Maranatha,I-Maranatha,5.0,Positif,Mot,Maranatha,Ximaranatha
Mukelenge mukashi,Reine,Koningin,Indlovukazi,4.0,Positif,Mot,Queen,Hosikati
Mukelenge munene,Roi,Koning,Inkosi,4.0,Positif,Mot,King,Hosinkulu
Mukengeshi,"Bourreau,
Persécution","Beul,_x000D_
Vervolging","Umenzi wokubulala,
Ushushiso",-8.0,Negatif,Mot,"Executioner, Persecution","Mudlayi, Ku xanisiwa"
Mukengeshibue,Opprimé,Onderdruk,Ucindezelwe,-7.0,Negatif,Mot,Oppressed,Ku tshikileriwa
Mukenji,Commandement,Bevel,Umyalo,2.0,Positif,Mot,Command,Lerisa
Mukenji,Messager,Boodskapper,I-Messenger,3.0,Positif,Mot,Messenger,Murhumiwa
Mukenji muela,Ordre,Bevel,I-oda,1.0,Positif,Mot,Order,Xileriso
Mukese,Mineur,Minor,Okuncane,1.0,Positif,Mot,Minor,Xitsongo
Mukete,Dard,Pyltjie,I-Sting,-4.0,Negatif,Mot,Dart,Dart
Mukinyibue,Haïssable,Haatlik,Kuyenyanyeka,-9.0,Negatif,Mot,Hateful,Ku venga
Mukishi,Fantôme,Spook,Isipoki,-5.0,Negatif,Mot,Ghost,Xipuku
Mukokeshi,Dominateur,Heerser,I-Dominator,-3.0,Negatif,Mot,Dominant,Tikisa voko
Mukoko mukaji,Brebis,Skaap,Izimvu,2.0,Positif,Mot,Sheep,Nyimpfu
Mukole,Puissant,Kragtig,Inamandla,6.0,Positif,Mot,Powerful,Matimba
Mukole (dina),Fortement,Sterk,Kuqine Kakhulu,0.0,Neutre,Mot,Strongly,Hi matimba
Mukonyi wa biseba,Corroyeur,Tinder,Umkhohlisi,-2.0,Negatif,Mot,Currier,Currier
Mukoso,Médisance,Rugbyter,I-Medisance,1.0,Negatif,Mot,Slander,Ku rhuketela
Muku mukaji,Belle-mère,Skoonmoeder,Umamazala,0.0,Positif,Mot,Stepmother,Manana wa vumbirhi
Mukuabu,Autrui,Ander,Okunye,0.0,Neutre,Mot,Others,Van’wana
Mukuatshibue (ne menji amue),Animé,Geanimeerd,Okupopayiwe,3.0,Positif,Mot,Animated,Swifaniso leswi hanyaka
Mukuatshibue (ne dinanga),Animé,Geanimeerd,Okupopayiwe,,,Mot,Animated,Swifaniso leswi hanyaka
"Mukuatshiki wa
maluvu",Ivrogne,Dronkaard,Udakiwe,-6.0,Negatif,Mot,Drunkard,Xidakwa
Mukuatshishanganyi wa mudimu,Collaborateur,Meewerker,Isisebenzi,3.0,Positif,Mot,Collaborator,Mutirhisani
Mukuatshishi,Tuteur,Tutor,Umqeqeshi,2.0,Positif,Mot,Tutor,Muleteri
Mukudi,Orateur,Spreker,Isipikha,3.0,Positif,Mot,Speaker,Xivulavuri
Mukuebe,Prochain,Buurman,Okulandelayo,2.0,Positif,Mot,Next,Landzelaka
Mukukuidi,Adorateur,Aanbidder,Abathandi,3.0,Positif,Mot,Worshipper,Mugandzeri
Mukulu (muaku),Ancien ,Antieke,Okudala,2.0,Positif,Mot,Ancient ,Khale 
Mukumbane,Parfait,Perfek,Iphelele,5.0,Positif,Mot,Perfect,Vukahle
"Mukumianganyi, mushipianganyi",Batteur,Tromspeler,I-Beater,1.0,Positif,Mot,Drummer,Muchayeri wa xigubu
Mukumike,Abattu,Uitgesny,Inqotshiwe,-6.0,Negatif,Mot,Shot down,Ku duvuriwa ehansi
Mukumu,Soufflet,Klok,Izinsimbi,-4.0,Negatif,Mot,Bellows,Bellows ya xirhendzevutani
Mukuna,Colline,Heuwel,Igquma,2.0,Positif,Mot,Hill,Xintshabyana
Mukuna mukese,Coteau,Helling,Ummango,,,Mot,Hill,Xintshabyana
Mukungulu,Tonnerre,Donderweer,Ukuduma kwezulu,1.0,Positif,Mot,Thunder,Dzinda
Mukunze kunzu,Écarlate,Skarlakenrooi,I-Scarlet,0.0,Neutre,Mot,Scarlet,Xitshopana xa xirhendzevutani
Mûla,Myrrhe,Mirre,Imure,3.0,Positif,Mot,Myrrh,Mira
"Mulalmi wa nzubu
wa lukanu",Geôlier,Tronkbewaarder,Umgcini wejele,-5.0,Negatif,Mot,Gaoler,Gaoler
Mulambu,Impôt,Belasting,Intela,1.0,Positif,Mot,Tax,Xibalo
"Mulambu wa kuosha
pa kapia",Holocauste,Holocaust,Ukuqothulwa Kwesizwe,-8.0,Negatif,Mot,Holocaust,Ku dlayeteriwa ka Vayuda hi Manazi
Mulami,Berger,Herder,Umalusi,4.0,Positif,Mot,Shepherd,Murisi
Mulami wa bintu,ÉcoMote,EkoMote,I-EcoMote,2.0,Positif,Mot,EcoMote,EcoMote ya xirhendzevutani
Mulami wa bintu bia mukelenge,Chambellan,Kamerheer,I-Chambellan,1.0,Neutre,Mot,Chamberlain,Chamberlain u vula leswaku
Mulami wa budimi bua nvinyo,Vigneron,Wingerd,Umenzi wewayini,2.0,Positif,Mot,Winegrower,Mubyari wa vhinyo
"Mulami wa kutshibi, nsentedi (mulume anyi mukaji)",Portier,Deurwagter,Umlindi womnyango,0.0,Neutre,Mot,Porter,Mufambisi wa swilo
"Mulami wa
tshibutshilu",Intendant,Rentmeester,Umphathi,1.0,Positif,Mot,Steward,Mulanguteri
Mulami wa tshilala benyi,Hôtelier,Hotelwagter,I-hotelier,0.0,Neutre,Mot,Hotelier,Mufambisi wa tihotela
Mulamibue (kuikala),Gardé ,Bewaak,Kugcinwe,1.0,Positif,Mot,Guard ,Rindza 
Mulawu,Malédiction,Vloek,Isiqalekiso,-9.0,Negatif,Mot,Curse,Ndzhukano
Mulayi,Promesse,Belofte,Thembisa,5.0,Positif,Mot,Promise,Tshembhisa
Muledi,Parent,Ouer,Umzali,3.0,Positif,Mot,Parent,Mutswari
Mulema,Perclus,Kruppel,Kufakiwe,-5.0,Negatif,Mot,Crippled,Ku lema
Mulembakane,Inutile,Nutteloos,Akudingekile,-6.0,Negatif,Mot,Useless,Pfuneki nchumu
Mulengele,Beau,Knap,Inhle,5.0,Positif,Mot,Beautiful,Sasekile
Mulengeshi,Instructeur,Instrukteur,Umqeqeshi,4.0,Positif,Mot,Instructor,Muleteri
Mulobi,Pêcheur,Visserman,Umdobi,0.0,Positif,Mot,Fisherman,Muphasi wa tinhlampfi
Mulombi,Mendiant,Bedelaar,Isinxibi,-4.0,Negatif,Mot,Beggar,Mukomberi
Mulombodi,Conducteur,Drywer,Umshayeli,2.0,Positif,Mot,Driver,Muchayeri
Mulondo,Cruche,Kruik,I-Jug,,Neutre,Mot,Jug,Jug
Mulondo (ya biseba),Outre,Wynsak,Ngaphezu kwalokho,0.0,Neutre,Mot,Besides,Handleka
"Mulondo wa
alabasta",Albâtre,Albaster,I-Alabaster,3.0,Neutre,Mot,Alabaster,Alabaster
"Mulondo, mushete",Vase,Vaas,I-Vase,4.0,Neutre,Mot,Vase,Mbita
Mulongo,Classe,Klas,Ikilasi,2.0,Positif,Mot,Class,Tlilasi
Mulongo,Rang,Rang,Izinga,2.0,Positif,Mot,Rank,Xiyimo xa le henhla
Mulopo,Ambassadeur,Ambassadeur,Inxusa,3.0,Positif,Mot,Ambassador,Muyimeri wa tiko
"Mulopo, Ngovena",Gouverneur,Goewerneur,Umbusi,2.0,Positif,Mot,Governor,Holobye
Mulotshi wa bilota,Rêveur,Dromer,Umuntu ophuphayo,1.0,Positif,Mot,Dreamer,Mulorhi
Muluate,Habillé,Geklee,Ukugqoka,2.0,Positif,Mot,Dressed,Ku ambale swiambalo
Mulubu,Rapport,Verslag,Bika,0.0,Neutre,Mot,Report,Xiviko
Muluishi,Opposant,Teenstander,Umphikisi,-2.0,Negatif,Mot,Opponent,Mukaneti
Mulumbuludi,Magistrat,Landdros,Imantshi,,,Mot,Magistrate,Majistarata
Mulumbuluishi,Préteur,Praetor,Umphathi wendlu,2.0,Positif,Mot,Lender,Mudyeleki wa mali
Mulume,Mari,Man,Umyeni,3.0,Positif,Mot,Husband,Nuna
Mulume wa ngombe,Taureau,Bul,I-Taurus,0.0,Neutre,Mot,Bull,Nkunzi
Mulunda,Ami,Vriend,Umngani,4.0,Positif,Mot,Friend,Munghana
Mulunda wa mubaki wa mukashi,Fils de la chambre nuptiale,Seun van die Bruidskamer,Izintambo Zamagumbi Omakoti,4.0,Positif,Mot,Son of the bridal chamber,N’wana wa kamara ra vukati
Mulunda wa pa muoyo,Intime,Intieme,Ukusondelana,3.0,Positif,Mot,Respondent,Mukamberiwa
Mumanyishi,Témoin,Getuie,Ufakazi,2.0,Positif,Mot,Witness,Mbhoni
Mumiaminyi,Semeur,Saaier,Umhlwanyeli,2.0,Positif,Mot,Sower,Mubyari
Muminu,Gosier,Keel,I-Gosier,0.0,Neutre,Mot,Throat,Nkolo
Muna mukole,Chaud,Warm,Kuyashisa,2.0,Positif,Mot,Hot,Hisa
Munanga,Bien-aimé,Geliefde,Othandekayo,5.0,Positif,Mot,Beloved,Murhandziwa
Munangibue,Affectionné,Aanhankelijk,Ethandekayo,4.0,Positif,Mot,Affectionate,Ku va ni rirhandzu
Munda,Intérieur,Innere,Ingaphakathi,1.0,Neutre,Mot,Interior,Endzeni ka yona
Munda mashi,Dysenterie,Disenterie,Amaphaphu,-6.0,Negatif,Mot,Dysentery,Vuvabyi bya nchuluko
"Munda, mu difu",Ventre,Maag,Isisu,0.0,Neutre,Mot,Belly,Khwiri
Mundankulu,Minuit,Middernag,Phakathi kwamabili,0.0,Neutre,Mot,Midnight,Xikarhi ka vusiku
Mundidimbi,Ombre,Skaduwee,Isithunzi,-1.0,Positif,Mot,Shadow,Ndzhuti
Munene,Principal,Prinsipaal,Okuyinhloko,4.0,Positif,Mot,Main,Xikulu
"Munene wa masalayi
abena lomo",,,,-3.0,Negatif,Mot,,nan
Munowi,Moissonneur,Oester,Umvuni,2.0,Positif,Mot,Reaper,Mutshoveri
Muntu,Gens,Mense,Abantu,0.0,Neutre,Mot,People,Vanhu
Muntu Muakane,Juste,Regverdig,Ilungile,5.0,Positif,Mot,Just,Njhe
Muntu mubi,,,,-8.0,Negatif,Mot,,nan
Muntu mubi,Profane,Onheilig,Okuyinhlamba,-8.0,Negatif,Mot,Profane,Ku rhuketela
Muntu mubi (muaku),Injuste ,Onregverdig,Akulungile,-7.0,Negatif,Mot,Unfair ,A swi lulamanga 
Muntu mubi (mufidi muleji ngikadilu),Injuste ,Onregverdig,Akulungile,-7.0,Negatif,Mot,Unfair ,A swi lulamanga 
Muntu mukole,Homme fait,Volwasse Man,Umuntu wenziwe,2.0,Positif,Mot,Man made,Ku endliwe hi munhu
Muntu munene,Noble,Edel,Okuhle,4.0,Positif,Mot,Noble,Noble
